race,race_link,race_type
North Carolina District 01,https://www.opensecrets.org/races/summary?cycle=2018&id=NC01,House
North Carolina District 02,https://www.opensecrets.org/races/summary?cycle=2018&id=NC02,House
North Carolina District 03,https://www.opensecrets.org/races/summary?cycle=2018&id=NC03,House
North Carolina District 04,https://www.opensecrets.org/races/summary?cycle=2018&id=NC04,House
North Carolina District 05,https://www.opensecrets.org/races/summary?cycle=2018&id=NC05,House
North Carolina District 06,https://www.opensecrets.org/races/summary?cycle=2018&id=NC06,House
North Carolina District 07,https://www.opensecrets.org/races/summary?cycle=2018&id=NC07,House
North Carolina District 08,https://www.opensecrets.org/races/summary?cycle=2018&id=NC08,House
North Carolina District 09,https://www.opensecrets.org/races/summary?cycle=2018&id=NC09,House
North Carolina District 10,https://www.opensecrets.org/races/summary?cycle=2018&id=NC10,House
North Carolina District 11,https://www.opensecrets.org/races/summary?cycle=2018&id=NC11,House
North Carolina District 12,https://www.opensecrets.org/races/summary?cycle=2018&id=NC12,House
North Carolina District 13,https://www.opensecrets.org/races/summary?cycle=2018&id=NC13,House
